mysql> show global variables;
+------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                              | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| autocommit                                                 | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| automatic_sp_privileges                                    | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| avoid_temporal_upgrade                                     | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| back_log                                                   | 4000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| basedir                                                    | /usr/                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| big_tables                                                 | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| bind_address                                               | 10.0.0.196/mysql                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| binlog_cache_size                                          | 32768                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| binlog_checksum                                            | CRC32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| binlog_direct_non_transactional_updates                    | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_encryption                                          | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_error_action                                        | ABORT_SERVER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| binlog_expire_logs_auto_purge                              | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_expire_logs_seconds                                 | 3600                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| binlog_format                                              | ROW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_group_commit_sync_delay                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| binlog_group_commit_sync_no_delay_count                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| binlog_gtid_simple_recovery                                | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| binlog_max_flush_queue_time                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| binlog_order_commits                                       | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| binlog_rotate_encryption_master_key_at_startup             | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_row_event_max_size                                  | 16384                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| binlog_row_image                                           | FULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| binlog_row_metadata                                        | MINIMAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| binlog_row_value_options                                   | PARTIAL_JSON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| binlog_rows_query_log_events                               | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| binlog_stmt_cache_size                                     | 32768                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| binlog_transaction_compression                             | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| binlog_transaction_compression_level_zstd                  | 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| binlog_transaction_dependency_history_size                 | 25000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| binlog_transaction_dependency_tracking                     | WRITESET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| block_encryption_mode                                      | aes-128-ecb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| build_id                                                   | b0ef4ba6926795974bddac9a998add73034ba424                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| bulk_insert_buffer_size                                    | 8388608                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| caching_sha2_password_auto_generate_rsa_keys               | ON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| caching_sha2_password_digest_rounds                        | 5000                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| caching_sha2_password_private_key_path                     | /db/metadata/private_key.pem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| caching_sha2_password_public_key_path                      | /db/metadata/public_key.pem                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| character_set_client                                       | utf8mb4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_set_connection                                   | utf8mb4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_set_database                                     | utf8mb4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_set_filesystem                                   | binary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| character_set_results                                      | utf8mb4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_set_server                                       | utf8mb4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_set_system                                       | utf8mb3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| character_sets_dir                                         | /usr/share/mysql-8.0/charsets/                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| check_proxy_users                                          | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| collation_connection                                       | utf8mb4_0900_ai_ci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| collation_database                                         | utf8mb4_0900_ai_ci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| collation_server                                           | utf8mb4_0900_ai_ci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| completion_type                                            | NO_CHAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| component_enterprise_encryption.maximum_rsa_key_size       | 4096                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| component_enterprise_encryption.rsa_support_legacy_padding | OFF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| concurrent_insert                                          | AUTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| connect_timeout                                            | 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
